gene,probe,f_score,coefficient,direction,mean_expr_younger,mean_expr_older,direction_from_group_means,coef_and_means_agree
LRRN3,11741013_a_at,74.84073434098126,-0.09149400259112116,down_with_age,0.9264945114287815,-0.5735442213606727,down_with_age,True
SLC4A10,11730926_at,73.49098535362272,-0.10426574373130722,down_with_age,0.9225330532095971,-0.5710918900821289,down_with_age,True
LRRN3,11724886_a_at,66.83330883069897,-0.08821979458087162,down_with_age,0.9015316068259429,-0.5580909947017727,down_with_age,True
NT5E,11755207_a_at,62.465656727784044,-0.0966961906916842,down_with_age,0.8862680752968216,-0.5486421418504168,down_with_age,True
CD248,11720845_a_at,56.47783478626805,-0.09539563221243225,down_with_age,0.8630744108431812,-0.5342841590934001,down_with_age,True
VCAN,11755009_s_at,47.96256089184864,0.0747271446815048,up_with_age,-0.8245330211217066,0.5104252035515312,up_with_age,True
SLC4A10,11749642_a_at,47.13245888041561,-0.08322816507843579,down_with_age,0.8203598682448869,-0.5078418231992108,down_with_age,True
NOG,11740638_at,41.05785909986016,-0.06737794819335208,down_with_age,0.7870944390879335,-0.4872489384830093,down_with_age,True
VCAN,11757783_s_at,41.023049855077836,0.06771087680102486,up_with_age,-0.7868886518021032,0.4871215463536907,up_with_age,True
CEP41,11723437_at,33.89815109907254,-0.07662150477964937,down_with_age,0.7403673386813941,-0.45832263823133523,down_with_age,True
RBPJ,11764053_a_at,32.02923068650199,0.0794931574072044,up_with_age,-0.7264963349988035,0.449735826427826,up_with_age,True
AGMAT,11731675_x_at,31.380179918511388,-0.07137082604927036,down_with_age,0.7214901387073819,-0.44663675253314317,down_with_age,True
HAVCR1,11749216_a_at,31.24467127818658,-0.07592077507598606,down_with_age,0.7204320827285474,-0.4459817654986188,down_with_age,True
KIAA1024,11730075_at,31.213550352950836,-0.08769160722938069,down_with_age,0.7201884530680691,-0.44583094713737853,down_with_age,True
RORC,11726774_a_at,28.61998295201778,-0.08387907423366431,down_with_age,0.6990065154757981,-0.43271831910406294,down_with_age,True
VCAN,11742207_a_at,28.543368067068325,0.05334669883025365,up_with_age,-0.6983530676477469,0.4323138037819362,up_with_age,True
KLRB1,11727609_at,28.112190996018683,-0.06352777658632665,down_with_age,0.6946441402157343,-0.43001780108593385,down_with_age,True
VCAN,11742208_a_at,27.842965824521702,0.05784029767966907,up_with_age,-0.6923008358617763,0.4285671841049111,up_with_age,True
APBA2,11727630_s_at,27.69702231453546,-0.06320518956521938,down_with_age,0.69102159084764,-0.4277752705247302,down_with_age,True
FAM13A,11744779_a_at,27.25937457850216,0.0850110168733498,up_with_age,-0.6871470171767915,0.4253767249189676,up_with_age,True
FGD4,11726393_at,27.172522714288775,0.05711594013243615,up_with_age,-0.6863711555732515,0.42489642964058416,up_with_age,True
ZNF204P,11753966_a_at,27.049690478615723,-0.07122770915916185,down_with_age,0.6852698978376884,-0.4242146986614247,down_with_age,True
MS4A6A,11749293_x_at,27.010105752921238,0.05528334883830148,up_with_age,-0.6849140014443603,0.42399438184651156,up_with_age,True
APBA2,11727629_at,25.806949735556923,-0.06461886230874013,down_with_age,0.6738582193704885,-0.4171503262769697,down_with_age,True
VCAN,11759403_x_at,25.792166367017437,0.05247022882018332,up_with_age,-0.6737194293292903,0.4170644086324223,up_with_age,True
